Date,nat,Year,Month,Day,Hour,Minute
1983-01-05,-1.112550559800675,1983,1,5,0,0
1983-01-06,-1.112550559800675,1983,1,6,0,0
1983-01-07,-1.112550559800675,1983,1,7,0,0
1983-01-08,-1.112550559800675,1983,1,8,0,0
1983-01-09,-1.112550559800675,1983,1,9,0,0
1983-01-10,-0.7376564222554705,1983,1,10,0,0
1983-01-11,-0.7376564222554705,1983,1,11,0,0
1983-01-12,-0.7376564222554705,1983,1,12,0,0
1983-01-13,-0.7376564222554705,1983,1,13,0,0
1983-01-14,-0.7376564222554705,1983,1,14,0,0
1983-01-15,-0.7376564222554705,1983,1,15,0,0
